idk, I don't know
ansrtqstn, answer the question
ansrtqst, answer the questions
ifywntt, if you want to
idnwtt, I don't want to
ifythnkso, if you think so
cygrbmewrnch, can you grab me a wrench
mbtryded, my battery died
mbtrydyng, my battery dying
cnygvmedrtns, can you give me directions
indtgthsptl, I need to go to the hospital
chknin, checking in
ttrnisrly, the train is early
trnsrnglt, train's running late
dyhvhminsrce, do you have home insurance
hwmchiyrcrinsrn, how much is your car insurance
ltstkrdtrp, let's take a road trip
whdywttgo, what do you want to go
moutclnscks, i'm out of clean socks
gnagoshoeshpng, gonna go shoe shopping
thtofst, that's too fast
shwsarstd, she was arrested
ibghtacr, I bought a car
ibghtahus, I bought a house
mrlestagtwsawsm, my real estate agent was awesome
wtsthphnnumbr, what's the phone number
cnigtyrnmbr, can I get your number
gngtthdr, going to the doctor
rdgmbke, riding my bike
dntslpwllstngt, didn't sleep well last night
dntslpwelllstnght, didn't sleep well last night
isitstlavlbl, is it still available
whrdoyulv, where do you live
trnlftathlght, turn left at the light
trnrghtathlght, turn right at the light
ifugtlstcllme, if you get lost call me
trstm, trust me
dyutrsthim, do you trust him
irspcttt, I respect that
lstlk, let's talk
mbywhnigthm, maybe when I get home
whndyeatlnh, when do you eat lunch
ltsgtlnc, let's get lunch
goutfrdrks, going out for drinks
icntmkit, I can't make it
thtsndssrs, that sounds serious
thtsndsfn, that sounds fun
hwbtaftlnch, how about after lunch
hwbtaftwrk, how about after work
hwbtaftdnnr, how about after dinner
evrbnthr, ever been there
nvrbnthr, never been there
iknsmnwhhas, I know someone who has
ifllikmbnglidto, I feel like I'm being lied to
sryyflthtwy, sorry you feel that way
ifywsh, if you wish
ifuwnt, if you want
dywntt, do you want to
idntwntt, I don't want to
bcrfl, be careful
wlkslwy, walk slowly
yrdrvtfst, you're driving fast
ltmfnshtypngths, let me finish typing this
cnigtbcktyltr, can I get back to you later
ltmfndout, let me find out
srythsntimprtrnt, sorry this isn't important
wndtmksrourvipsrhpy, want to make sure our VIPs are happy
ryupfrit, are you up for it
ihtthis, I hate this
ihtht, I hate that
thprdntisvstgtdy, the president is visiting today
thrsacongrsnldlgtnarvng, there's a congressional delegation arriving
tambsdrdsntlkcrminhrcofe, the ambassador doesn't like cream in her coffee
cnigtthtwotmto, can I get that without tomato
thsmsqtoskpbtngme, these mosquitoes keep biting me
gngovactnnxtwk, going on vacation next week
amialwdtodotht, am I allowed to do that
gnahvtclyubk, gonna have to call you back
gngclybck, going to call back
ihvtbtr, I have to be there
thtsntrght, that's not right
thtsrng, that's wrong
tstshrible, taste's horrible
tstgrt, taste's great
whrdywrk, where do you work
socsecbnftsrincrsng, social security benefits are increasing
cnumkalst, can you make a list
icntthkfnythg, I can't think of anything
ifyuthkfsmmthlmknw, if you think of something let me know
hwstwthrthr, how's the weather there
isfnlywrmngp, it's finally warming up
